Date;RPM;Temperatura;Potencia
2024-10-16T18:31:48.459Z;0;20.6;0
2024-10-16T18:31:49.458Z;0;20.5;0
2024-10-16T18:31:50.456Z;0;20.5;0
2024-10-16T18:31:51.457Z;0;20.6;0
2024-10-16T18:31:52.456Z;0;20.5;0
2024-10-16T18:31:53.458Z;0;20.5;0
2024-10-16T18:31:54.455Z;0;20.5;0
2024-10-16T18:31:55.456Z;0;20.4;0
2024-10-16T18:31:56.456Z;0;20.4;0
2024-10-16T18:31:57.456Z;0;20.4;0
2024-10-16T18:31:58.456Z;0;20.4;0
2024-10-16T18:31:59.455Z;0;20.5;0
2024-10-16T18:32:00.456Z;0;20.5;0
2024-10-16T18:32:01.456Z;0;20.5;0
2024-10-16T18:32:02.456Z;0;20.6;0
2024-10-16T18:32:03.455Z;0;20.6;0
2024-10-16T18:32:04.465Z;0;20.5;0
2024-10-16T18:32:05.456Z;0;20.6;0
2024-10-16T18:32:06.455Z;0;20.6;0
2024-10-16T18:32:07.455Z;0;20.6;0
2024-10-16T18:32:08.455Z;0;20.6;0
2024-10-16T18:32:09.458Z;0;20.5;0
2024-10-16T18:32:10.456Z;0;20.5;0
2024-10-16T18:32:11.454Z;0;20.5;0
2024-10-16T18:32:12.457Z;0;20.3;0
2024-10-16T18:32:13.454Z;0;20.3;0
2024-10-16T18:32:14.454Z;0;20.4;0
2024-10-16T18:32:15.455Z;0;20.4;0
2024-10-16T18:32:16.462Z;0;20.3;0
2024-10-16T18:32:17.455Z;0;20.3;0
2024-10-16T18:32:18.455Z;0;20.3;0
2024-10-16T18:32:19.452Z;0;20.3;0
2024-10-16T18:32:20.454Z;0;20.2;0
2024-10-16T18:32:21.455Z;0;20.2;0
2024-10-16T18:32:22.454Z;0;20.3;0
2024-10-16T18:32:23.455Z;0;20.5;0
2024-10-16T18:32:24.453Z;0;20.5;0
2024-10-16T18:32:25.454Z;0;20.5;0
2024-10-16T18:32:26.456Z;0;20.6;0
2024-10-16T18:32:27.454Z;0;20.6;0
2024-10-16T18:32:28.454Z;0;20.6;0
2024-10-16T18:32:29.453Z;0;20.6;0
2024-10-16T18:32:30.455Z;0;20.6;0
2024-10-16T18:32:31.453Z;0;20.6;0
2024-10-16T18:32:32.453Z;0;20.6;0
2024-10-16T18:32:33.453Z;0;20.5;0
2024-10-16T18:32:34.451Z;0;20.5;0
