Datex;RPM;Temperatura;Potencia;;Dateloco;Date
2024-10-16T16:22:11.496Z;0;20.4;0;;16:22:11.496Z;16:22:11
2024-10-16T16:22:12.495Z;0;20.3;0;;16:22:12.495Z;16:22:12
2024-10-16T16:22:13.493Z;0;20.3;0;;16:22:13.493Z;16:22:13
2024-10-16T16:22:14.493Z;0;20.3;0;;16:22:14.493Z;16:22:14
2024-10-16T16:22:15.492Z;0;20.3;0;;16:22:15.492Z;16:22:15
2024-10-16T16:22:16.493Z;0;20.3;0;;16:22:16.493Z;16:22:16
2024-10-16T16:22:17.492Z;0;20.3;0;;16:22:17.492Z;16:22:17
2024-10-16T16:22:18.492Z;0;20.3;0;;16:22:18.492Z;16:22:18
2024-10-16T16:22:19.493Z;0;20.3;0;;16:22:19.493Z;16:22:19
2024-10-16T16:22:20.493Z;0;20.3;0;;16:22:20.493Z;16:22:20
2024-10-16T16:22:21.493Z;0;20.2;0;;16:22:21.493Z;16:22:21
2024-10-16T16:22:22.492Z;0;20.3;0;;16:22:22.492Z;16:22:22
2024-10-16T16:22:23.492Z;0;20.3;0;;16:22:23.492Z;16:22:23
2024-10-16T16:22:24.492Z;0;20.2;0;;16:22:24.492Z;16:22:24
2024-10-16T16:22:25.494Z;0;20.2;0;;16:22:25.494Z;16:22:25
2024-10-16T16:22:26.495Z;0;20.2;0;;16:22:26.495Z;16:22:26
2024-10-16T16:22:27.491Z;0;20.2;0;;16:22:27.491Z;16:22:27
2024-10-16T16:22:28.503Z;0;20.2;0;;16:22:28.503Z;16:22:28
2024-10-16T16:22:29.494Z;0;20.2;0;;16:22:29.494Z;16:22:29
2024-10-16T16:22:30.499Z;0;20.3;0;;16:22:30.499Z;16:22:30
2024-10-16T16:22:31.504Z;0;20.3;0;;16:22:31.504Z;16:22:31
2024-10-16T16:22:32.508Z;0;20.3;0;;16:22:32.508Z;16:22:32
2024-10-16T16:22:33.498Z;0;20.4;0;;16:22:33.498Z;16:22:33
2024-10-16T16:22:34.500Z;0;20.4;0;;16:22:34.500Z;16:22:34
2024-10-16T16:22:35.509Z;0;20.4;0;;16:22:35.509Z;16:22:35
2024-10-16T16:22:36.499Z;0;20.5;0;;16:22:36.499Z;16:22:36
2024-10-16T16:22:37.503Z;0;20.5;0;;16:22:37.503Z;16:22:37
2024-10-16T16:22:38.508Z;0;20.5;0;;16:22:38.508Z;16:22:38
2024-10-16T16:22:39.491Z;0;20.5;0;;16:22:39.491Z;16:22:39
2024-10-16T16:22:40.497Z;0;20.3;0;;16:22:40.497Z;16:22:40
2024-10-16T16:22:41.510Z;0;20.4;0;;16:22:41.510Z;16:22:41
2024-10-16T16:22:42.499Z;0;20.4;0;;16:22:42.499Z;16:22:42
2024-10-16T16:22:43.504Z;0;20.3;0;;16:22:43.504Z;16:22:43
2024-10-16T16:22:44.509Z;0;20.3;0;;16:22:44.509Z;16:22:44
2024-10-16T16:22:45.498Z;0;20.3;0;;16:22:45.498Z;16:22:45
2024-10-16T16:22:46.503Z;0;20.3;0;;16:22:46.503Z;16:22:46
2024-10-16T16:22:47.497Z;0;20.3;0;;16:22:47.497Z;16:22:47
2024-10-16T16:22:48.499Z;0;20.2;0;;16:22:48.499Z;16:22:48
2024-10-16T16:22:49.491Z;0;20.1;0;;16:22:49.491Z;16:22:49
2024-10-16T16:22:50.507Z;0;20.2;0;;16:22:50.507Z;16:22:50
2024-10-16T16:22:51.498Z;0;20.2;0;;16:22:51.498Z;16:22:51
2024-10-16T16:22:52.503Z;0;20.2;0;;16:22:52.503Z;16:22:52
2024-10-16T16:22:53.490Z;0;20.2;0;;16:22:53.490Z;16:22:53
2024-10-16T16:22:54.499Z;0;20.3;0;;16:22:54.499Z;16:22:54
2024-10-16T16:22:55.490Z;0;20.3;0;;16:22:55.490Z;16:22:55
2024-10-16T16:22:56.509Z;0;20.3;0;;16:22:56.509Z;16:22:56
2024-10-16T16:22:57.490Z;0;20.3;0;;16:22:57.490Z;16:22:57
2024-10-16T16:22:58.503Z;0;20.4;0;;16:22:58.503Z;16:22:58
2024-10-16T16:22:59.490Z;0;20.5;0;;16:22:59.490Z;16:22:59
2024-10-16T16:23:00.499Z;0;20.5;0;;16:23:00.499Z;16:23:00
2024-10-16T16:23:01.501Z;0;20.5;0;;16:23:01.501Z;16:23:01
2024-10-16T16:23:02.508Z;0;20.4;0;;16:23:02.508Z;16:23:02
2024-10-16T16:23:03.489Z;0;20.4;0;;16:23:03.489Z;16:23:03
