Date;RPM;Temperatura;Potencia
14:37:54;0;19.7;0
14:37:55;0;19.7;0
14:37:56;0;19.7;0
14:37:57;0;19.7;0
14:37:58;0;19.7;0
14:37:59;0;19.7;0
14:38:00;0;19.7;0
14:38:01;0;19.7;0
14:38:02;0;19.7;0
14:38:03;0;19.7;0
14:38:04;0;19.7;0
14:38:05;0;19.7;0
14:38:06;0;19.7;0
14:38:07;0;19.7;0
14:38:08;0;19.7;0
14:38:09;0;19.7;0
14:38:10;0;19.7;0
14:38:11;0;19.7;0
14:38:12;0;19.7;0
14:38:13;0;19.7;0
14:38:14;0;19.7;0
14:38:15;0;19.7;0
14:38:16;0;19.7;0
14:38:17;0;19.7;0
14:38:18;0;19.7;0
14:38:19;0;19.7;0
14:38:20;0;19.7;0
14:38:21;0;19.7;0
14:38:22;0;19.7;0
14:38:23;0;19.7;0
14:38:24;0;19.7;0
14:38:25;0;19.7;0
14:38:26;0;19.7;0
14:38:27;0;19.7;0
14:38:28;0;19.7;0
14:38:29;0;19.7;0
14:38:30;0;19.7;0
14:38:31;0;19.7;0
14:38:32;0;19.7;0
14:38:33;0;19.7;0
14:38:34;0;19.7;0
14:38:35;0;19.7;0.36
14:38:36;0;19.3;3.72
14:38:37;0;19;3.72
14:38:38;0;18.6;3.72
14:38:39;0;18.3;3.72
14:38:40;0;17.9;3.72
14:38:41;0;17.5;3.72
14:38:42;0;17.1;3.72
14:38:43;0;16.8;3.72
14:38:44;0;16.4;3.72
14:38:45;0;16;3.72
14:38:46;0;16;3.72
14:38:47;0;16;3.72
14:38:48;0;16;3.72
14:38:49;0;16;3.72
14:38:50;0;16;3.72
14:38:51;0;16;3.72
14:38:52;0;16;3.72
14:38:53;0;16;3.72
14:38:54;0;16;3.72
14:38:55;0;16;3.72
14:38:56;0;16;3.72
14:38:57;0;16;3.72
14:38:58;0;16;3.72
14:38:59;0;16;3.72
14:39:00;0;16;3.72
14:39:01;0;16.1;3.72
14:39:02;0;16.1;3.72
14:39:03;0;16.1;3.72
14:39:04;0;16.1;3.72
14:39:05;0;16.1;3.72
14:39:06;0;16.1;3.72
14:39:07;0;16.1;3.72
14:39:08;0;16.1;3.72
14:39:09;0;16.1;3.72
14:39:10;0;16.1;3.72
14:39:11;0;16.1;3.72
14:39:12;0;16.1;3.72
14:39:13;0;16.1;3.72
14:39:14;0;16.1;3.72
14:39:15;0;16.1;3.72
14:39:16;0;16.1;3.72
14:39:17;0;16.1;3.72
14:39:18;0;16.1;3.72
14:39:19;0;16.1;3.72
14:39:20;0;16.1;3.72
14:39:21;0;16.1;3.72
14:39:22;0;16.1;3.72
14:39:23;0;16.2;3.72
14:39:24;0;16.2;3.72
14:39:25;0;16.2;3.72
14:39:26;0;16.2;3.72
14:39:27;0;16.2;3.72
14:39:28;0;16.2;3.72
14:39:29;0;16.2;3.72
14:39:30;0;16.2;3.72
14:39:31;0;16.2;3.72
14:39:32;0;16.3;3.72
