Date;RPM;Temperatura;Potencia
16:35:33;0;23.7;0
16:35:34;0;23.5;0
16:35:35;0;23.7;0
16:35:36;0;23.6;0
16:35:37;0;23.8;0
16:35:38;0;23.4;0
16:35:39;0;23.3;0
16:35:40;0;23.6;0
16:35:41;0;23.7;0
16:35:42;0;23.4;0
16:35:43;0;23.4;0
16:36:26;0;22.9;0
16:36:27;0;23.8;0
16:36:27;0;23.6;0
16:36:28;0;23.5;0
16:36:28;0;23.8;0
16:36:29;0;24.2;0
16:36:29;0;24.1;0
16:36:30;0;23.1;0
16:36:30;0;23.9;0
16:36:31;0;23.6;0
16:36:31;0;23.7;0
16:36:32;0;23.8;0
16:36:32;0;23.6;0
16:36:33;0;23.9;0
16:36:33;0;23;0
16:36:34;0;23.9;0
16:36:34;0;23.5;0
16:36:35;0;23.8;0
16:36:35;0;23.6;0
16:36:36;0;23.6;0
16:36:36;0;24;0
16:36:37;0;23.8;0
16:36:37;0;23.9;0
16:36:38;0;23.6;0
16:36:38;0;23.7;0
16:36:39;0;23.7;0
16:36:39;0;24;0
16:36:40;0;23.6;0
16:36:40;0;23.3;0
16:36:41;0;23.7;0
16:36:41;0;24;0
16:36:42;0;23.5;0
16:36:42;0;23.8;0
16:36:43;0;23.9;0
16:36:43;0;23.8;0
16:36:44;0;24.5;0
16:36:44;0;23.8;0
16:36:45;0;23.9;0
16:36:45;0;24.3;0
16:36:46;0;23.4;0
16:36:46;0;23.7;0
16:36:47;0;23.7;0
16:36:47;0;23.5;0
16:36:48;0;24.2;0
16:36:48;0;24.1;0
16:36:49;0;24.3;0
16:36:49;0;23.5;0
16:36:50;0;23.7;0
16:36:50;0;23.6;0
16:36:51;0;23.3;0
16:36:51;0;23.9;0
16:36:52;0;24;0
16:36:52;0;23.4;0
16:36:53;0;23.6;0
16:36:53;0;23.6;0
16:36:54;0;24.2;0
16:36:54;0;24.3;0
16:36:55;0;23.5;0
16:36:55;0;23.7;0
16:36:56;0;23.6;0
16:36:56;0;24.3;0
16:36:57;0;23.5;0
16:36:57;0;23.5;0
16:36:58;0;23.9;0
16:36:58;0;23.8;0
16:36:59;0;24.3;0
16:36:59;0;23.8;0
16:37:00;0;23.6;0
16:37:00;0;23.6;0
16:37:01;0;23.2;0
16:37:01;0;23.7;0
16:37:02;0;24.2;0
16:37:02;0;23.3;0
16:37:03;0;23.5;0
16:37:03;0;23.9;0
