Date;RPM;Temperatura;Potencia
2024-10-01T15:50:53.962Z;0;16.6;3.72
2024-10-01T15:50:54.963Z;0;17.4;3.72
2024-10-01T15:50:55.962Z;0;17.2;3.72
2024-10-01T15:50:56.962Z;0;17.4;3.72
2024-10-01T15:50:57.962Z;0;16.4;3.72
2024-10-01T15:50:58.962Z;0;17.7;3.72
2024-10-01T15:50:59.962Z;0;16.9;3.72
2024-10-01T15:51:00.962Z;0;16.9;3.72
2024-10-01T15:51:01.963Z;0;17.2;3.72
2024-10-01T15:51:02.962Z;0;17.4;3.72
2024-10-01T15:51:03.963Z;0;17;3.72
2024-10-01T15:51:04.962Z;0;17.3;3.72
2024-10-01T15:51:05.962Z;0;17;3.72
2024-10-01T15:51:06.962Z;0;17.3;3.72
2024-10-01T15:51:07.962Z;0;18.4;3.72
2024-10-01T15:51:08.962Z;0;17.6;3.72
2024-10-01T15:51:09.962Z;0;17.1;3.72
2024-10-01T15:51:10.963Z;0;17.2;3.72
2024-10-01T15:51:11.962Z;0;17.3;3.72
2024-10-01T15:51:12.963Z;0;17.7;3.72
2024-10-01T15:51:13.962Z;0;17.8;3.72
2024-10-01T15:51:14.962Z;0;17.8;3.72
2024-10-01T15:51:15.962Z;0;18.4;3.72
2024-10-01T15:51:16.962Z;0;17.7;3.72
2024-10-01T15:51:17.963Z;0;17.8;3.72
2024-10-01T15:51:18.962Z;0;17;3.72
2024-10-01T15:51:19.963Z;0;17.4;3.72
2024-10-01T15:51:20.962Z;0;17.7;3.72
2024-10-01T15:51:21.962Z;0;17.5;3.72
2024-10-01T15:51:22.962Z;0;17.8;3.72
2024-10-01T15:51:23.962Z;0;18;3.72
2024-10-01T15:51:24.962Z;0;18;3.72
2024-10-01T15:51:25.962Z;0;17.9;3.72
2024-10-01T15:51:26.963Z;0;17.5;3.72
2024-10-01T15:51:27.962Z;0;17.8;3.72
2024-10-01T15:51:28.963Z;0;17.4;3.72
2024-10-01T15:51:29.962Z;0;17.7;3.72
2024-10-01T15:51:30.963Z;0;18.5;3.72
2024-10-01T15:51:31.962Z;0;17.5;3.72
2024-10-01T15:51:32.963Z;0;17.6;3.72
2024-10-01T15:51:33.963Z;0;17.6;3.72
2024-10-01T15:51:34.963Z;0;16.9;3.72
2024-10-01T15:51:35.963Z;0;18;3.72
2024-10-01T15:51:36.963Z;0;17.8;3.72
2024-10-01T15:51:37.963Z;0;17.8;3.72
2024-10-01T15:51:38.962Z;0;17.7;3.72
2024-10-01T15:51:39.963Z;0;18.2;3.72
2024-10-01T15:51:40.962Z;0;18;3.72
2024-10-01T15:51:41.963Z;0;18.3;3.72
2024-10-01T15:51:42.963Z;0;18.3;3.72
2024-10-01T15:51:43.963Z;0;17.4;3.72
2024-10-01T15:51:44.963Z;0;18.1;3.72
2024-10-01T15:51:45.963Z;0;17.9;3.72
2024-10-01T15:51:46.963Z;0;18.7;3.72
2024-10-01T15:51:47.962Z;0;18.3;3.72
2024-10-01T15:51:48.963Z;0;18;3.72
2024-10-01T15:51:49.963Z;0;18.2;3.72
2024-10-01T15:51:50.963Z;0;17.4;3.72
2024-10-01T15:51:51.964Z;0;18;3.72
2024-10-01T15:51:52.964Z;0;18.1;3.72
2024-10-01T15:51:53.964Z;0;18.7;3.72
2024-10-01T15:51:54.964Z;0;18.1;3.72
2024-10-01T15:51:55.964Z;0;18.1;3.72
2024-10-01T15:51:56.963Z;0;18.6;3.72
2024-10-01T15:51:57.964Z;0;18.6;3.72
2024-10-01T15:51:58.964Z;0;17.7;3.72
2024-10-01T15:51:59.964Z;0;18.8;3.72
2024-10-01T15:52:00.964Z;0;18.4;3.72
2024-10-01T15:52:01.964Z;0;18.7;3.72
2024-10-01T15:52:02.964Z;0;18.4;3.72
2024-10-01T15:52:03.964Z;0;18.4;3.72
2024-10-01T15:52:04.964Z;0;18.5;3.72
2024-10-01T15:52:05.964Z;0;17.6;3.72
2024-10-01T15:52:06.964Z;0;19.1;3.72
2024-10-01T15:52:07.964Z;0;18.6;3.72
2024-10-01T15:52:08.964Z;0;17.8;3.72
2024-10-01T15:52:09.964Z;0;19.1;3.72
